id,text,timestamp,entities,sentiment,theme,embedding,anomaly_score,is_anomaly,anomaly_summary,pca_x,pca_y
1,Need urgent help with delivery issues,2025-03-27T10:00:00,['delivery'],negative,customer service issue,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.28716433904177674, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4726053786759576, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4726053786759576, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4226146858139281, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4726053786759576, 0.0, 0.0, 0.0, 0.2624232037316032]",0.030426007081949535,False,nan,0.09814492175744072,-0.0940151163520524
2,"Product quality is great, fast shipping",2025-03-27T12:00:00,"['product quality', 'shipping']",positive,product review,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.49462173540552073, 0.0, 0.0, 0.49462173540552073, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.22629934066721005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3005419111423429, 0.0, 0.49462173540552073, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.35286142415088, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.044789197930975244,False,nan,-0.016699173216753068,0.17052758467478407
3,Unusually high price for this item!!!,2025-03-27T14:00:00,"['price', 'item']",Negative,Consumer feedback on pricing,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.36732369082363003, 0.0, 0.0, 0.0, 0.42178755483664065, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.28590485275615335, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5148941453375124, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.27421710032275826, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5148941453375124, 0.0, 0.0, 0.0, 0.0, 0.0]",0.034291012099980145,False,nan,-0.13063837152187552,0.06909075767863576
767c7dd4-89f6-4fd6-9b83-088e24d7e9fe,Require immediate assistance due to problems with shipping.,2025-04-03T21:59:16.024490,['shipping'],negative,assistance request,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.27671983289238883, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4983525829713265, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30280884762601507, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3354820080348804, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3181217130423319, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3555229978164221, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4082371480068292, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.27671983289238883]",0.04843596103140513,False,nan,0.6584205860402169,0.01816468416747535
0d7fccaf-b97e-42d9-ab9d-4d2f5c7e7db0,"""The item is top-notch and arrived quickly.""",2025-04-03T21:59:16.408607,['item'],positive,customer experience,"[0.0, 0.0, 0.0, 0.26322603698099206, 0.0, 0.42390759405003997, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21688792002326057, 0.0, 0.0, 0.26322603698099206, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.42390759405003997, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.47405122380872694, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.22486936070553068, 0.0, 0.0, 0.0, 0.42390759405003997, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.020423136968527933,False,nan,-0.25174553686116075,-0.30292198175519636
db0bd194-c979-4292-a413-f24147d4ff9c,"""This object's cost is exceedingly above the norm!""",2025-04-03T21:59:16.892083,"['object', 'cost', 'norm']",negative,pricing analysis,"[0.4130706432499052, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.28067921496378645, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4130706432499052, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21134330664188722, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.46193238031248984, 0.0, 0.46193238031248984, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21912070644071482, 0.24601126080283686, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.022214630281306658,False,nan,-0.25615492417691654,0.21879700187048337
dcd4eb33-83b5-4fcc-b9bf-2d977f19826f,Require immediate assistance to resolve shipment problems.,2025-04-03T21:59:19.338611,"['shipment', 'assistance']",urgent,customer service problem,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2845289895335532, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3113542478552846, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3449494593687917, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.327099249137727, 0.0, 0.4582145473677714, 0.0, 0.0, 0.4582145473677714, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.41975778171857075, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.05514955608834171,False,nan,0.5753801246321009,0.00271602874308339
0f773b1f-0541-42a9-b71d-a49e8d80f506,The item arrives promptly and meets exceptionally high standards.,2025-04-03T21:59:19.829856,['item'],positive,evaluation,"[0.0, 0.0, 0.0, 0.22700217923652652, 0.0, 0.0, 0.408814652640514, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3348900628994401, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3348900628994401, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.22700217923652652, 0.0, 0.0, 0.0, 0.408814652640514, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.408814652640514, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3655715397607899, 0.0, 0.0, 0.0, 0.19392395793796835, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.01620538259316401,False,nan,-0.18026341329008755,-0.2543980046516978
26d90cb6-2184-4e5f-b37a-9b80868d8cde,"""This product is unexpectedly pricey!!!""",2025-04-03T21:59:20.267474,['product'],negative,pricing/product cost,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.28745852460768845, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.628297165512543, 0.0, 0.3817657360601889, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.33461213033393866, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5146842852109248, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.06356869173189539,False,nan,-0.2446958149419522,0.4292127605823546
ee2ff798-c046-49fe-a398-7dea0f4b5656,Seeking immediate assistance with shipping complications.,2025-04-03T21:59:20.742043,"['assistance', 'shipping', 'complications']",urgent,request for help,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30592442152836863, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4926704325249011, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3347668310412909, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5509479536364116, 0.0, 0.0, 0.0, 0.3930443521528013, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30592442152836863]",0.03068970412849442,False,nan,0.4882540559883502,0.01465415770657465
298f4c0f-bd0d-46e5-a0af-ee8c44868b58,"The merchandise is superb, and it arrived in no time at all.",2025-04-03T21:59:21.395699,['merchandise'],positive,customer experience,"[0.0, 0.3452039181329408, 0.0, 0.19168109849054682, 0.0, 0.3086893463045375, 0.0, 0.0, 0.0, 0.0, 0.262686426305275, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2827818452934216, 0.1579376996143832, 0.0, 0.3452039181329408, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3086893463045375, 0.0, 0.3452039181329408, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3086893463045375, 0.0, 0.1637497816373525, 0.0, 0.3452039181329408, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.027391329470791703,True,"The text might be considered an anomaly because it contains exclusively positive feedback without any criticism or suggestions for improvement, which is relatively rare in customer reviews. Typically, reviews include both positive and negative aspects to provide a balanced opinion. The absence of any negatives or neutrals makes this review stand out as unusually favorable and enthusiastic.",-0.16705949340921225,-0.19998027163652943
35812ac1-f096-4c68-beba-d92a21cb6377,Astonishingly elevated cost for this product!!!,2025-04-03T21:59:21.974578,"['cost', 'product']",negative,Pricing,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5321732851627332, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.32335897259059615, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5321732851627332, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3796505690224435, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.32335897259059615, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2834194493140012, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.053887384300189856,False,nan,-0.17770994836548284,0.42243936080288536
f9be9c0a-77d8-4c14-8e2a-1ae1d64d049b,Require immediate assistance with transportation problems.,2025-04-03T21:59:22.359968,['transportation'],negative,assistance request,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.32911465293173753, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3601434264737028, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3990030041763549, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3783556678378458, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5927118980518664, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.32911465293173753]",0.0550392064437521,False,nan,0.6194665154268817,0.008487482762491205
aa89d878-0b70-41c6-b810-8938086a19d5,"The item excels in craftsmanship, and the delivery was remarkably speedy.",2025-04-03T21:59:23.127078,"['item', 'craftsmanship', 'delivery']",positive,product review,"[0.0, 0.0, 0.0, 0.2171844594445396, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3204062512914389, 0.0, 0.0, 0.0, 0.23766050737770927, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3911336430573373, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3204062512914389, 0.0, 0.0, 0.0, 0.2171844594445396, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.34976077110047243, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3911336430573373, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3710737061622559, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.27903337933457406, 0.0]",0.005281250547661598,False,nan,-0.24337724932865004,-0.48770611500084976
5bbfaa55-ce51-4369-b755-4da1c96a2462,The cost of this product is exceedingly steep!,2025-04-03T21:59:23.537409,"['product', 'cost']",negative,pricing,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3288455009254648, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4839561155771538, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.247611122714813, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.41183378698183626, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3288455009254648, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.41183378698183626, 0.0, 0.0, 0.2567231723301472, 0.2882283118201389, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.04328605761492754,False,nan,-0.3815004373380958,0.4187611540389545
8a176c45-12a5-4c71-bb19-c3b3d763c4c5,Require immediate assistance with shipping troubles.,2025-04-03T21:59:24.025282,['shipping'],urgent,customer support,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3259377243299808, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3566669785486197, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3747034179848436, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.418756963113375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5869904773714172, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3259377243299808]",0.05198982989596096,False,nan,0.5888095321170324,0.02070920337745009
456568e7-ccf8-40fb-b0a1-e63bbf7c9ce8,The item is outstanding and was delivered at lightning speed.,2025-04-03T21:59:24.412450,['item'],positive,customer experience,"[0.0, 0.0, 0.0, 0.23919163293732346, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.32779651073174193, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.43076698498079796, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.19708451469977295, 0.0, 0.0, 0.23919163293732346, 0.0, 0.43076698498079796, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3528728282204563, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.32779651073174193, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.20433719324130503, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30730766749036104, 0.0]",0.00974045716683053,False,nan,-0.2810146042511698,-0.3509570394715244
